iter	Passed	Remaining
1305	1734	985
1306	1735	984
1307	1737	982
1308	1738	981
1309	1740	980
1310	1741	979
1311	1742	977
1312	1744	976
1313	1745	974
1314	1746	973
1315	1747	972
1316	1749	970
1317	1750	969
1318	1751	968
1319	1753	966
1320	1754	965
1321	1755	964
1322	1757	962
1323	1758	961
1324	1759	960
1325	1760	958
1326	1762	957
1327	1763	956
1328	1764	954
1329	1766	953
1330	1767	952
1331	1768	950
1332	1770	949
1333	1771	948
1334	1772	946
1335	1773	945
1336	1775	944
1337	1776	942
1338	1777	941
1339	1779	939
1340	1780	938
1341	1781	937
1342	1782	935
1343	1784	934
1344	1785	933
1345	1786	931
1346	1787	930
1347	1789	929
1348	1790	927
1349	1791	926
1350	1792	925
1351	1794	923
1352	1795	922
1353	1796	920
1354	1797	919
1355	1799	918
1356	1800	916
1357	1801	915
1358	1802	914
1359	1804	912
1360	1805	911
1361	1806	910
1362	1808	908
1363	1809	907
1364	1810	905
1365	1811	904
1366	1813	903
1367	1814	901
1368	1816	900
1369	1817	899
1370	1818	897
1371	1819	896
1372	1821	895
1373	1822	893
1374	1823	892
1375	1824	891
1376	1826	889
1377	1827	888
1378	1828	887
1379	1829	885
1380	1831	884
1381	1832	883
1382	1833	881
1383	1835	880
1384	1836	879
1385	1837	877
1386	1839	876
1387	1840	875
1388	1841	873
1389	1843	872
1390	1844	871
1391	1845	869
1392	1847	868
1393	1848	867
1394	1850	866
1395	1851	864
1396	1852	863
1397	1854	862
1398	1855	860
1399	1856	859
1400	1857	857
1401	1858	856
1402	1860	855
1403	1861	853
1404	1862	852
1405	1864	851
1406	1865	849
1407	1866	848
1408	1868	847
1409	1869	845
1410	1870	844
1411	1872	843
1412	1873	841
1413	1874	840
1414	1875	839
1415	1877	837
1416	1878	836
1417	1879	835
1418	1881	833
1419	1882	832
1420	1883	831
1421	1884	829
1422	1886	828
1423	1887	827
1424	1888	825
1425	1889	824
1426	1891	823
1427	1892	821
1428	1893	820
1429	1895	819
1430	1896	817
1431	1897	816
1432	1899	815
1433	1900	813
1434	1901	812
1435	1902	810
1436	1904	809
1437	1905	808
1438	1906	806
1439	1907	805
1440	1909	804
1441	1910	802
1442	1911	801
1443	1913	800
1444	1914	798
1445	1915	797
1446	1916	796
1447	1918	794
1448	1919	793
1449	1920	792
1450	1921	790
1451	1923	789
1452	1924	788
1453	1925	786
1454	1927	785
1455	1928	784
1456	1929	782
1457	1930	781
1458	1932	780
1459	1933	778
1460	1934	777
1461	1936	775
1462	1937	774
1463	1938	773
1464	1939	772
1465	1941	770
1466	1942	769
1467	1943	767
1468	1944	766
1469	1946	765
1470	1947	763
1471	1948	762
1472	1949	761
1473	1951	759
1474	1952	758
1475	1953	757
1476	1955	755
1477	1956	754
1478	1957	753
1479	1958	751
1480	1960	750
1481	1961	749
1482	1962	747
1483	1963	746
1484	1965	745
1485	1966	743
1486	1967	742
1487	1968	741
1488	1970	739
1489	1971	738
1490	1972	736
1491	1973	735
1492	1975	734
1493	1976	732
1494	1977	731
1495	1979	730
1496	1980	728
1497	1981	727
1498	1982	726
1499	1984	724
1500	1985	723
1501	1986	722
1502	1988	720
1503	1989	719
1504	1990	718
1505	1991	716
1506	1993	715
1507	1994	714
1508	1995	712
1509	1996	711
1510	1998	710
1511	1999	708
1512	2000	707
1513	2001	706
1514	2002	704
1515	2004	703
1516	2005	701
1517	2006	700
1518	2007	699
1519	2009	697
1520	2010	696
1521	2011	695
1522	2013	693
1523	2014	692
1524	2015	691
1525	2016	689
1526	2018	688
1527	2019	687
1528	2020	685
1529	2021	684
1530	2023	683
1531	2024	682
1532	2026	680
1533	2027	679
1534	2029	678
1535	2030	676
1536	2031	675
1537	2033	674
1538	2034	672
1539	2036	671
1540	2037	670
1541	2039	669
1542	2040	667
1543	2042	666
1544	2043	665
1545	2044	663
1546	2046	662
1547	2047	661
1548	2048	660
1549	2050	658
1550	2051	657
1551	2052	656
1552	2054	654
1553	2055	653
1554	2057	652
1555	2058	650
1556	2059	649
1557	2061	648
1558	2062	646
1559	2063	645
1560	2065	644
1561	2066	643
1562	2068	641
1563	2069	640
1564	2070	639
1565	2072	637
1566	2073	636
1567	2074	635
1568	2076	633
1569	2077	632
1570	2078	631
1571	2080	629
1572	2081	628
1573	2082	627
1574	2084	625
1575	2085	624
1576	2086	623
1577	2088	621
1578	2089	620
1579	2090	619
1580	2092	617
1581	2093	616
1582	2094	615
1583	2096	614
1584	2097	612
1585	2098	611
1586	2100	610
1587	2101	608
1588	2102	607
1589	2104	606
1590	2105	604
1591	2107	603
1592	2108	602
1593	2109	600
1594	2111	599
1595	2112	598
1596	2113	596
1597	2115	595
1598	2116	594
1599	2117	592
1600	2119	591
1601	2120	590
1602	2121	589
1603	2123	587
1604	2124	586
1605	2125	585
1606	2127	583
1607	2128	582
1608	2129	581
1609	2131	579
1610	2132	578
1611	2133	577
1612	2134	575
1613	2136	574
1614	2137	573
1615	2138	571
1616	2140	570
1617	2141	569
1618	2142	567
1619	2144	566
1620	2145	565
1621	2146	563
1622	2148	562
1623	2149	561
1624	2150	559
1625	2152	558
1626	2153	557
1627	2155	555
1628	2156	554
1629	2157	553
1630	2159	552
1631	2160	550
1632	2161	549
1633	2163	548
1634	2164	546
1635	2165	545
1636	2166	544
1637	2168	542
1638	2169	541
1639	2171	540
1640	2172	538
1641	2173	537
1642	2175	536
1643	2176	534
1644	2177	533
1645	2179	532
1646	2180	530
1647	2181	529
1648	2183	528
1649	2184	526
1650	2185	525
1651	2186	524
1652	2188	522
1653	2189	521
1654	2191	520
1655	2192	519
1656	2193	517
1657	2195	516
1658	2196	515
1659	2197	513
1660	2199	512
1661	2200	511
1662	2202	509
1663	2203	508
1664	2204	507
1665	2206	505
1666	2207	504
1667	2208	503
1668	2210	501
1669	2211	500
1670	2212	499
1671	2214	497
1672	2215	496
1673	2216	495
1674	2218	493
1675	2219	492
1676	2220	491
1677	2222	490
1678	2223	488
1679	2224	487
1680	2226	486
1681	2227	484
1682	2228	483
1683	2230	482
1684	2231	480
1685	2233	479
1686	2234	478
1687	2235	476
1688	2237	475
1689	2238	474
1690	2239	472
1691	2241	471
1692	2242	470
1693	2243	468
1694	2245	467
1695	2246	466
1696	2247	464
1697	2248	463
1698	2250	462
1699	2251	460
1700	2252	459
1701	2254	458
1702	2255	456
1703	2256	455
1704	2258	454
1705	2259	452
1706	2260	451
1707	2262	450
1708	2263	449
1709	2265	447
1710	2266	446
1711	2267	445
1712	2269	443
1713	2270	442
1714	2271	441
1715	2272	439
1716	2274	438
1717	2275	437
1718	2276	435
1719	2278	434
1720	2279	433
1721	2280	431
1722	2281	430
1723	2283	429
1724	2284	427
1725	2286	426
1726	2287	425
1727	2288	423
1728	2290	422
1729	2291	421
1730	2292	419
1731	2294	418
1732	2295	417
1733	2296	415
1734	2298	414
1735	2299	413
1736	2300	411
1737	2302	410
1738	2303	409
1739	2304	407
1740	2305	406
1741	2307	405
1742	2308	403
1743	2309	402
1744	2311	401
1745	2312	399
1746	2313	398
1747	2315	397
1748	2316	395
1749	2317	394
1750	2319	393
1751	2320	392
1752	2321	390
1753	2322	389
1754	2324	388
1755	2325	386
1756	2326	385
1757	2328	384
1758	2329	382
1759	2331	381
1760	2332	380
1761	2333	378
1762	2335	377
1763	2336	376
1764	2337	374
1765	2339	373
1766	2340	372
1767	2341	370
1768	2343	369
1769	2344	368
1770	2345	366
1771	2347	365
1772	2348	364
1773	2350	362
1774	2351	361
1775	2352	360
1776	2354	359
1777	2355	357
1778	2356	356
1779	2358	355
1780	2359	353
1781	2360	352
1782	2362	351
1783	2363	349
1784	2364	348
1785	2366	347
1786	2367	345
1787	2369	344
1788	2370	343
1789	2371	341
1790	2373	340
1791	2374	339
1792	2375	337
1793	2377	336
1794	2378	335
1795	2379	333
1796	2381	332
1797	2382	331
